"Trompeters Wiegenlied","Anderson","10",138
"Troubardour","Verdi","10",144
"Trumpet Power","Higgins","15",3
"Trumpet Voluntary","Purcell","4",161
"Trumpets Wild","Walters","10",132
"Twins","Hadermann","15",18
"Ulmer Fischermarsch","Zorlbe","9",81
"Ulmer Spatzen","Leichensprinner","9",82
"Ulmer Ständchen","Grüner","10",123
"Ungarische Fantasie Nr. 3","Lotterer","10b",147
"Ungarische Fantasie Nr. 4","Lotterer","10b",153
"Ungarische Rhapsodie","Reindl","4a",151
"Ungarischer Tanz Nr. 5","Brahms","7b",250
"Unter dem Doppeladler","Wagner","9",99
"Unter dem Siegesbanner","von Blon","9",107
"Unter dem Sternenbanner","Sousa","9",75
"Unter südlicher Sonne","Köster","4a",152
"Untern Linden","Kollo","9",80
"Unvergessener Fred Raymond","Rhinow","7a",269
"Variations on a french folk song","Lijnschaten","7b",257
"Venezia Marsch","Fabiam","9",84
"Verdi","Tuschla","15",13
"Verschmähte Liebe","Linke","6",218
"Vivat Pax","Reiche","9",83
"Vogeländler","Zeller","11",103
"Volkstümliche Rhapsodie","Graetsch","4a",153
"Vom Donauufer","Fucik","6",224
"Vom Rhein zur Donau","Rhode","11",103
"Von Bayern nach Tirol","Sorbon","9",123
"Von der Tann","Hager","9",110
"Vor meinem Vaterhaus","Stolz","7b",248
"Vorspiel zu einem Musical","Sorbon","5",210
"Wach auf Chor","Wagner","4",162
"Wachparade","Koedel","9",87
"Waidmannsheil","Reckling","9",86
"Walzerperlen","Tuschla","6",223
"Wandergeselle","Knecke","10",125
"Was die Soldaten singen","Halter","11",104
"Was euch gefällt","Egidius","11",105
"Washington Post","Sousa","9",85
"Weaner Madel","Zierer","6",220
"Welt der Operette","Egidius","11",104
"Wenn ich König wär","Adam","5",199
"Wiener Blut","Strauss","6",219
"Wiener Bürger","Zierer","6",221
"Wo die Wolga fließt","Kolditz","10b",148
"Young Life","???","15",16
"Zapfenstreich","???","9",132
"Zaragossa","Caneius","7b",251
"Zeller Erinnerungen","???","11",106
"Zum Geburtstag","Fellow","4",158
"Zum Städtele hinaus","Moore","9",89
"Zwillinge","Gruse","7",270
"Suite","Purcell","12",1
"Tochter Zion","Händel","12",2
"St. Florian Choral","Doss","12",3
"Maria durch ein Dornwald ging","Loritz","12",4
"Salvation is created","Tschesnokoff","12",5
"Jesu, Joy of Man's Desiring","Bach","12",6
"Weihnachtsmedley","Styne","12",7
"Zwei berühmte Choräle","Bach","12",8
"Musikalischer Weihnachtsgruß","Morbach","12",9
"Prima Luce","van der Roost","12",10
"A Christmas Collage","Court","12",11
"We Three Kings","Hosay","12",12
"C'est Noel","Jutras","12",13
"Weihnachtslieder","???","16",2
"Christmas Variations","Kernen","12",15
"Canzona a 8","Gabrieli","12",16
"Sinfonia La Bergamasca","Viadana","12",17
"Sonata Pian e Forte","Gabrieli","12",18
"Renaisance-Suite","Susato","12",19
"Star Trek - Deep Space Nine","McCarthy","12",20
"Sambatina","Armitage","12",21
"Saargau Marsch","Morbach","12",22
"Miss Marples Theme","Goodwin","12",23
"Bozenka","Jiskra","12",24
"Zimni-Polka","Trojan","12",24
"Spiritual Moments","Stratford","12",25
"Jubelpolka","Jiskra","12",26
"The Saints Hallelujah","Henderson","12",27
"Kosaken-Patrouille","???","12",28
"Tanz der Vampire","Steinman","16",4
"Hits International","Schneider","12",29
"Unvergessen Bert Kaempfert","Bell","12",30
"Euregio","Gäble","16",26
"New York Ouvertüre","Vlak","16",27
"Deep Purple Medley","Sahashi","1",1
"Solistentraum","Watz","1",2
"Pastorale","Hartwig","1",3
"Cantabile","Hartwig","1",3
"Udo Jürgens live","Gäble","1",4
"Oh Happy Day","Armitage","1",5
"Festtagshymne","Stich","1",6
"Music","Miles","1",7
"Schwarz-Rot-Gold","Burger","1",8
"Dompfaff","Mosch","1",8
"Böhmisches Gold","Hardenbergh","1",8
"Steigermarsch","Klesen","1",9
"Dancing on the Seashore","Hadermann","1",10
"Dreiländerfest-Fanfare","Morbach","1",11
"North Norwegian Fantasy","Agaard-Nilsen","1",12
"Gulliver's Travels","Appermont","1",13
"Norwegian Rondo","Sparke","1",14
"Interlude for Band","Cesarini","1",15
"Gruß nach West und Ost","Burger","1",16
"Wir grüßen mit Musik","Rundel","1",16
"Mit Polkas um die Welt","Kolditz","1",17
"Backdraft","Zimmer","1",18
"Freedom for all","Safaric","1",19
"Europasterne","Watz","1",20
"Florentinische Nächte","Dostal","1",21
"Musik ist Trumpf","Gietz","1",21
"Trompeten-Echo","Avsenik","1",22
"Fridericus Rex","Radeck","1",23
"Sedona","Reineke","1",24
"Pasadena","de Haan","1",25
"Tritsch-Tratsch-Polka","Strauß","1",26
"Allegro Animato","Erickson","1",27
"All Glory Told","Swearingen","1",28
"Grease","Moss","1",29
"Ross Roy","de Haan","1",30
"The Cream of Clapton","Sebregts","16",6
"Flower Power","Kosko","16",7
"Down by the Riverside","Rae","16",1
"Nationalhymnen","???","16",3
"One Moment in Time","Hammond","14",1
"Zwei Supermänner","Gursky","3",1
"This Love","Maroon 5","3",2
"Midway March","Williams","3",3
"Highlights from Hook","Williams","3",4
"Südböhmische Polka","Kubes","3",5
"Astronautenmarsch","Ullrich","3",6
"Veteranenmarsch","Pleyer","3",7
"Auf der Vogelwiese","Poncar","3",8
"Die schöne Egerländerin","???","3",8
"Abschiedswalzer","Vacek","3",9
"Fiaker-Polka","Bummerl","3",9
"Festmarsch","Becker","3",10
"Posaunenkonzert","Rimsky-Korsakov","3",11
"Tokyo Adventure","di Ghisallo","13",1
"Bohemian Rhapsody","Mercury","13",2
"Storie di tutti i Giorni","Waignein","13",3
"Das kleine Konzert","Janka","13",4
"Beauty and the Beast","Menken","13",5
"I will follow him","Stole","13",6
"The Beatles in Concert","Conzelmann","13",7
"Twist and Shout","Medley","13",8
"New Age Rock","McMilan","13",9
"Shufflin Canon","Vlak","13",10
"Irish Dream","Gäble","13",11
"Friends for Life","Stratford","13",12
"Imagine","Lennon","13",13
"Auf froher Fahrt","Janka","13",14
"Bergvagabunden","Janka","13",14
"High Spirits","Evers","13",15
"Coast Guards","King","13",15
"Über sieben Brücken","Schneider","13",16
"Mountain Mystery","MacBeth","13",17
"Dorfschmied","Stepanek","13",18
"Vienna Variations","Bösendorfer","13",19
"Fuchsgraben","Vacek","13",20
"Löffel-Polka","Borovicka","13",20
"Polkafeuer","Strubl","13",21
"Heal the World","Jackson","13",22
"Perfidia","Borras","13",23
"Sail along silvry Moon","Conzelmann","13",24
"Radetzky-Marsch","Strauß","13",25
"Memory Jive","Achs","13",26
"Auf zum Start","Tuschla","13",27
"Romanze in F","Beethoven","13",28
"The young Christmas Album","Vlak","13",29
"Feliz Navidad","Feliciano","13",30
"White Christmas","Berlin","13",31
"Abba Gold","Sebregts","14",2
"Monte Cristallo","Reis","14",3
"The Blues Brothers in Concert","Kosko","14",4
"Belvedere","Bruchmann","14",5
"Matrimony","O`Sullivan","14",6
"Something Stupid","Parks","14",7
"I do it for you","Adams","14",8
"Killing me softly","Gimbe","14",9
"Harmonique","Laseroms","14",10
"Once upon a time in the west","Morricone","14",11
"YMCA","Morali","14",12
"The final countdown","Tempest","14",13
"Go West","Morali","14",14
"Junior TV-Hits","Conte","14",15
"Winter Wunderland","Bummerl","14",16
"First Concert Folio","Frank","14",17
"What a wonderful world","Armstrong","14",18
"I will survive","Fekaris","14",19
"For young people","Kahlenbach","14",20
"Time to say goodbye","Campbell","14",21
"Leningrad","Joel","14",22
"Der Jungbläser","Kolditz","14",23
"Centuria","Swearingen","14",24
"Penny Lane","Lennon","14",25
"Can you feel the love tonight","John","14",26
"American Graphity","Iwai","14",27
"Country-Call","Hendriks","14",28
"Pilgerchor","Wagner","14",29
"Pretty Woman","Orbison","14",30
"Police Academy March","Folk","14",31
"Fanfare and Flourishes","Curnow","14",32
"Abracadabra","Barton","2",1
"In the mood","Miller","2",2
"Sir Duke","Wonder","2",3
"Moonlight Serenade","Miller","2",4
"Downtown","Hatch","2",5
"My only wish","Aldrich","2",6
"Sweet Georgia Brown","Bernie","2",7
"Slammin","Hayes","2",7
"Smooth Operator","Adu","2",7
"Fly me to the moon","Howard","2",8
"Black magic woman","Green","2",9
"Mission Impossible","Schifrin","2",10
"Must be the blues","Taylor","2",11
"Impact Zone","Barton","2",12
"Swingville USA","Clark","2",13
"Thanks for the memory","Robin","2",14
"My Way","Anka","2",15
"Patrizia","Prado","2",16
"El Cumbanchero","Hernandez","2",16
"Brazil","Barroso","2",17
"Amor, Amor!","Ruiz","2",17
